City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,unai,-16.3575,-46.9061,29.12,28,0,2.71,BR,1699699192
83,magadi,12.9667,77.2333,29.09,56,47,3.93,IN,1699699193
84,tangalle,6.024,80.7911,30.09,74,23,2.34,LK,1699699193
85,chanute,37.6792,-95.4572,5.82,65,100,2.57,US,1699699194
86,wynyard,-41.0,145.7167,10.83,64,0,4.73,AU,1699699120
87,invercargill,-46.4,168.35,13.9,61,85,2.24,NZ,1699699195
88,datong,40.0936,113.2914,-3.21,26,0,2.33,CN,1699699006
89,playa blanca,28.8643,-13.8281,24.25,78,14,6.91,ES,1699699197
90,lebu,-37.6167,-73.65,10.73,87,100,6.84,CL,1699699197
91,ixtapa,20.7,-105.2,22.91,93,85,1.59,MX,1699699198
92,dombarovskiy,50.7587,59.5386,3.33,96,100,4.92,RU,1699699198
93,essaouira,31.5125,-9.77,25.72,38,4,3.09,MA,1699699199
94,susuman,62.7833,148.1667,-30.44,99,89,0.37,RU,1699699199
95,egilsstadir,65.2653,-14.3948,-5.05,86,0,1.03,IS,1699699200
96,haiku-pauwela,20.9219,-156.3051,25.02,64,0,7.2,US,1699699201
97,mount pearl,47.5166,-52.7813,1.19,94,100,11.32,CA,1699699201
98,jaisalmer,26.9147,70.9181,29.27,19,0,4.49,IN,1699699202
99,umri,26.5106,78.9367,30.16,29,0,3.77,IN,1699699203
100,sikonge,-5.6333,32.7667,34.0,19,70,3.95,TZ,1699699205
101,ancud,-41.8697,-73.8203,7.96,74,94,8.06,CL,1699699206
102,vadso,70.0744,29.7487,-1.51,80,20,5.66,NO,1699699206
103,pandan,14.0453,124.1694,27.12,86,100,4.83,PH,1699699207
104,guatrache,-37.6678,-63.5302,14.98,87,21,2.56,AR,1699699208
105,mount gambier,-37.8333,140.7667,8.19,89,2,2.28,AU,1699699208
106,tazovsky,67.4667,78.7,-9.09,95,100,2.88,RU,1699699209
107,iqaluit,63.7506,-68.5145,-3.15,68,100,4.12,CA,1699699210
108,sitka,57.0531,-135.33,5.94,81,100,4.63,US,1699699210
109,vorgashor,67.5833,63.95,-13.88,92,16,1.84,RU,1699699211
110,linxia chengguanzhen,35.6003,103.2064,3.55,44,54,2.18,CN,1699699212
111,jinchang,38.4953,102.1739,-0.29,31,0,2.61,CN,1699699212
112,chiredzi,-21.05,31.6667,35.41,22,0,4.31,ZW,1699699213
113,wailua homesteads,22.0669,-159.378,23.44,91,100,5.66,US,1699699214
114,neftegorsk,52.802,51.166,2.99,68,24,6.37,RU,1699699215
115,acarau,-2.8856,-40.12,28.78,61,93,8.85,BR,1699699215
116,saipan,15.1355,145.701,28.39,78,75,6.17,MP,1699699200
117,hammerfest,70.6634,23.6821,-0.75,100,75,1.54,NO,1699699217
118,san rafael del yuma,18.4299,-68.6739,26.76,87,57,4.43,DO,1699699218
119,morehead city,34.7229,-76.726,13.32,83,100,5.66,US,1699699218
120,tiksi,71.6872,128.8694,-12.44,90,100,7.58,RU,1699699219
121,hermanus,-34.4187,19.2345,19.4,68,30,6.26,ZA,1699699220
122,severo-yeniseyskiy,60.3725,93.0408,-10.24,93,83,1.34,RU,1699699220
123,woolgoolga,-30.1106,153.2007,20.93,85,0,4.55,AU,1699699221
124,avarua,-21.2078,-159.775,23.03,94,100,1.54,CK,1699699221
125,juba,4.8517,31.5825,34.85,32,64,2.52,SS,1699699222
126,erdenet,49.0333,104.0833,-12.29,84,0,1.84,MN,1699699223
127,klaksvik,62.2266,-6.589,5.51,68,76,6.68,FO,1699699223
128,kavaratti,10.5669,72.642,28.96,69,86,1.67,IN,1699699224
129,tagta,41.6504,59.9164,13.97,38,0,8.23,TM,1699699224
130,nadi,-17.8,177.4167,26.0,69,40,5.66,FJ,1699699225
131,hadibu,12.65,54.0333,28.54,71,100,6.17,YE,1699699226
132,talnakh,69.4865,88.3972,-12.75,97,99,0.63,RU,1699699226
133,cody,44.5263,-109.0565,6.12,44,0,5.66,US,1699699227
134,chibougamau,49.9168,-74.3659,-5.21,93,100,2.06,CA,1699699228
135,page,36.9147,-111.4558,4.88,33,0,2.06,US,1699699228
136,cadale,2.7603,46.3222,27.14,78,86,7.63,SO,1699699229
137,hawaiian paradise park,19.5933,-154.9731,21.69,89,75,3.09,US,1699699230
138,talara,-4.5772,-81.2719,20.56,76,99,7.33,PE,1699699230
139,aasiaat,68.7098,-52.8699,-14.56,85,100,4.85,GL,1699699232
140,choibalsan,48.0667,114.5,-12.59,88,93,3.76,MN,1699699233
141,east london,-33.0153,27.9116,23.52,68,40,10.29,ZA,1699699234
142,ulsteinvik,62.3432,5.8487,4.62,78,20,0.45,NO,1699699235
143,okha,53.5739,142.9478,-5.66,83,100,6.14,RU,1699699235
144,selkirk,50.1436,-96.8845,-1.96,94,33,3.32,CA,1699699236
145,ghat,24.9647,10.1728,28.52,11,0,3.16,LY,1699699237
146,albina,5.5,-54.05,26.97,80,53,2.55,SR,1699699237
147,skelleftea,64.7507,20.9528,-3.89,100,75,2.06,SE,1699699238
148,nelson,-41.2833,173.2833,11.83,85,1,0.45,NZ,1699699204
149,geraldton,-28.7667,114.6,21.23,83,100,5.66,AU,1699699239
150,fort mcmurray,56.7268,-111.381,-5.23,93,0,4.63,CA,1699699240
151,calbuco,-41.768,-73.1273,7.56,86,100,5.6,CL,1699699240
